"10404る 4108 胔疭             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/04/01","539,851","16,783,431","31.55","31.55","30.80","30.85","-0.70","330",
"104/04/02","386,806","12,017,724","30.85","31.40","30.85","31.10","+0.25","221",
"104/04/07","968,076","30,058,681","31.15","31.50","30.60","31.00","-0.10","534",
"104/04/08","284,716","8,860,201","31.00","31.30","31.00","31.20","+0.20","227",
"104/04/09","409,500","12,683,149","31.30","31.30","30.80","30.80","-0.40","264",
"104/04/10","373,563","11,491,798","30.90","31.00","30.60","30.65","-0.15","220",
"104/04/13","362,225","11,074,542","30.60","30.85","30.30","30.45","-0.20","272",
"104/04/14","554,280","17,064,580","30.45","31.15","30.30","30.95","+0.50","325",
"104/04/15","457,142","14,231,152","31.20","31.45","30.85","30.90","-0.05","290",
"104/04/16","1,233,726","38,612,657","31.85","31.85","30.80","30.85","-0.05","709",
"104/04/17","1,442,531","42,973,204","31.30","31.30","28.80","29.40","-1.45","783",
"104/04/20","2,223,280","62,052,965","28.90","29.00","27.40","27.85","-1.55","1,247",
"104/04/21","797,988","22,004,218","27.85","28.20","27.20","27.30","-0.55","477",
"104/04/22","3,487,594","90,518,839","27.40","27.60","25.40","25.50","-1.80","1,911",
"104/04/23","3,058,181","81,182,838","27.25","27.25","26.10","26.20","+0.70","1,659",
"104/04/24","1,882,400","48,131,785","26.20","26.40","25.20","25.50","-0.70","1,349",
"104/04/27","1,478,715","38,961,326","25.90","26.75","25.70","26.70","+1.20","938",
"104/04/28","750,461","19,778,403","26.65","26.65","26.15","26.20","-0.50","446",
"104/04/29","473,163","12,453,492","26.30","26.45","26.20","26.35","+0.15","372",
"104/04/30","416,236","11,001,966","26.50","26.70","26.25","26.25","-0.10","298",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

