"10403る 2712 环动ㄓ           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/03/02","25,030","538,342","21.50","21.60","21.50","21.50"," 0.00","12",
"104/03/03","52,400","1,126,560","21.50","21.50","21.50","21.50"," 0.00","18",
"104/03/04","26,000","560,200","21.50","21.60","21.50","21.60","+0.10","10",
"104/03/05","22,000","475,050","21.60","21.75","21.50","21.60"," 0.00","14",
"104/03/06","17,000","366,350","21.35","21.60","21.35","21.50","-0.10","7",
"104/03/09","1,000","21,500","21.50","21.50","21.50","21.50"," 0.00","1",
"104/03/10","69,000","1,501,000","21.50","21.95","21.50","21.75","+0.25","36",
"104/03/11","64,000","1,394,150","21.80","21.85","21.60","21.75"," 0.00","26",
"104/03/12","48,002","1,046,492","21.70","21.85","21.70","21.80","+0.05","22",
"104/03/13","99,013","2,182,182","21.80","22.20","21.80","21.90","+0.10","45",
"104/03/16","42,000","931,700","22.00","22.30","22.00","22.00","+0.10","20",
"104/03/17","65,008","1,431,076","22.00","22.10","21.90","21.90","-0.10","18",
"104/03/18","10,000","219,200","22.00","22.00","21.80","22.00","+0.10","8",
"104/03/19","93,683","2,046,889","20.85","22.05","20.85","21.95","-0.05","42",
"104/03/20","71,000","1,543,700","21.55","21.80","21.55","21.75","-0.20","24",
"104/03/23","60,000","1,316,200","21.65","22.45","21.65","21.95","+0.20","24",
"104/03/24","2,004","43,988","21.95","21.95","21.95","21.95"," 0.00","6",
"104/03/25","6,001","131,322","21.90","22.00","21.85","22.00","+0.05","5",
"104/03/26","7,008","153,526","22.00","22.00","21.60","21.95","-0.05","13",
"104/03/27","66,000","1,454,850","21.90","22.15","21.90","22.10","+0.15","31",
"104/03/30","55,000","1,210,700","21.75","22.15","21.75","22.10"," 0.00","22",
"104/03/31","56,000","1,240,700","22.00","22.30","22.00","22.20","+0.10","17",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

