"10507る 4190 ︴祅-KY          らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/07/01","929,574","88,194,791","90.00","97.50","89.10","97.00","+8.00","796",
"105/07/04","819,021","80,571,847","97.80","99.90","95.20","95.50","-1.50","704",
"105/07/05","181,001","17,315,796","95.50","96.40","95.00","95.20","-0.30","168",
"105/07/06","256,050","23,994,785","95.80","96.00","92.60","92.70","-2.50","217",
"105/07/07","277,001","25,688,993","93.80","94.50","91.80","91.90","-0.80","218",
"105/07/11","141,002","12,445,380","89.00","89.20","87.80","88.00","X0.00","125",
"105/07/12","118,000","10,378,300","88.80","88.90","87.40","88.40","+0.40","104",
"105/07/13","207,000","18,623,800","88.00","91.80","88.00","89.80","+1.40","182",
"105/07/14","323,013","29,496,296","90.00","92.30","90.00","90.50","+0.70","246",
"105/07/15","133,125","12,086,500","91.00","91.50","90.20","90.60","+0.10","105",
"105/07/18","243,015","22,294,565","90.70","92.70","90.70","91.00","+0.40","206",
"105/07/19","95,000","8,602,500","91.90","91.90","90.20","90.50","-0.50","86",
"105/07/20","138,000","12,420,500","90.30","91.00","89.10","89.30","-1.20","120",
"105/07/21","143,250","12,827,700","89.40","90.40","89.00","89.40","+0.10","118",
"105/07/22","109,250","9,682,048","89.40","89.40","88.10","88.20","-1.20","100",
"105/07/25","133,004","11,656,972","89.00","89.10","87.00","87.30","-0.90","113",
"105/07/26","53,013","4,653,896","88.50","88.50","87.30","87.60","+0.30","48",
"105/07/27","101,001","8,856,892","88.50","88.50","87.50","87.50","-0.10","70",
"105/07/28","151,000","13,119,900","87.50","88.00","86.30","86.50","-1.00","119",
"105/07/29","76,020","6,604,648","87.60","88.00","86.60","86.60","+0.10","62",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

