"10401る 2701 窾             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/01/05","190,071","2,852,966","15.10","15.20","14.95","15.10","-0.10","74",
"104/01/06","129,200","1,935,950","14.95","15.00","14.95","15.00","-0.10","49",
"104/01/07","23,595","353,091","14.90","15.00","14.90","15.00"," 0.00","18",
"104/01/08","22,162","334,180","15.10","15.10","15.05","15.05","+0.05","14",
"104/01/09","19,779","297,140","15.05","15.05","15.00","15.05"," 0.00","23",
"104/01/12","80,805","1,212,375","15.00","15.10","15.00","15.00","-0.05","25",
"104/01/13","116,460","1,748,150","15.00","15.10","15.00","15.10","+0.10","39",
"104/01/14","51,423","771,813","15.00","15.05","14.95","15.05","-0.05","29",
"104/01/15","45,725","686,687","15.05","15.05","15.00","15.00","-0.05","21",
"104/01/16","106,309","1,594,635","15.00","15.00","15.00","15.00"," 0.00","38",
"104/01/19","65,602","984,195","15.05","15.05","15.00","15.05","+0.05","28",
"104/01/20","41,159","620,235","15.05","15.10","15.00","15.10","+0.05","43",
"104/01/21","37,259","561,985","15.05","15.15","15.00","15.10"," 0.00","40",
"104/01/22","21,003","316,445","15.05","15.15","15.05","15.05","-0.05","22",
"104/01/23","45,172","678,114","15.10","15.10","15.00","15.00","-0.05","35",
"104/01/26","73,117","1,096,895","15.05","15.05","15.00","15.00"," 0.00","26",
"104/01/27","79,463","1,197,695","15.05","15.15","15.00","15.00"," 0.00","40",
"104/01/28","56,902","853,930","15.00","15.05","15.00","15.05","+0.05","24",
"104/01/29","24,273","364,580","15.00","15.10","15.00","15.00","-0.05","13",
"104/01/30","89,362","1,340,430","15.00","15.00","15.00","15.00"," 0.00","32",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

