"10501る 1731 地           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/01/04","158,012","2,151,406","13.75","13.75","13.55","13.55","-0.15","85",
"105/01/05","128,231","1,738,981","13.65","13.65","13.45","13.45","-0.10","73",
"105/01/06","195,301","2,626,912","13.45","13.65","13.40","13.45"," 0.00","83",
"105/01/07","218,006","2,891,178","13.30","13.45","13.15","13.15","-0.30","99",
"105/01/08","180,433","2,405,108","13.15","13.55","13.05","13.40","+0.25","77",
"105/01/11","130,110","1,727,110","13.40","13.45","13.20","13.20","-0.20","62",
"105/01/12","224,663","2,958,343","13.40","13.45","13.00","13.10","-0.10","81",
"105/01/13","88,004","1,164,806","13.40","13.40","13.10","13.15","+0.05","55",
"105/01/14","218,006","2,832,634","12.70","13.20","12.70","13.10","-0.05","120",
"105/01/15","254,150","3,371,742","13.10","13.40","13.10","13.40","+0.30","135",
"105/01/18","295,256","4,011,226","13.30","13.75","13.30","13.65","+0.25","188",
"105/01/19","131,361","1,797,790","13.70","13.85","13.60","13.60","-0.05","70",
"105/01/20","280,136","3,739,900","13.45","13.65","13.15","13.15","-0.45","123",
"105/01/21","183,000","2,428,550","13.35","13.35","13.20","13.25","+0.10","74",
"105/01/22","207,185","2,735,150","13.30","13.35","13.05","13.15","-0.10","105",
"105/01/25","266,003","3,530,092","13.35","13.40","13.15","13.25","+0.10","94",
"105/01/26","95,004","1,254,002","13.10","13.35","13.10","13.20","-0.05","52",
"105/01/27","139,312","1,849,266","13.30","13.35","13.20","13.20"," 0.00","66",
"105/01/28","90,031","1,194,008","13.30","13.35","13.20","13.30","+0.10","47",
"105/01/29","474,125","6,274,148","13.30","13.35","13.10","13.30"," 0.00","163",
"105/01/30","478,238","6,478,712","13.30","13.70","13.30","13.55","+0.25","184",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

