"10408る 3705 ッ獺             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/08/03","111,000","5,380,100","49.05","49.05","48.30","48.30","-0.75","98",
"104/08/04","177,900","8,514,489","48.25","48.45","47.20","47.20","-1.10","133",
"104/08/05","63,100","3,009,900","47.20","48.00","47.20","47.80","+0.60","68",
"104/08/06","147,113","6,987,007","48.10","48.35","46.35","46.35","-1.45","103",
"104/08/07","134,025","6,250,075","46.35","46.90","46.35","46.75","+0.40","110",
"104/08/10","111,010","5,235,083","46.75","47.70","46.75","47.65","+0.90","78",
"104/08/11","345,002","16,412,250","48.00","48.25","46.40","47.00","-0.65","188",
"104/08/12","153,003","7,175,150","46.55","47.60","46.50","47.50","+0.50","125",
"104/08/13","157,581","7,402,231","46.80","47.60","45.60","47.35","-0.15","105",
"104/08/14","147,015","6,963,278","46.80","47.80","46.80","47.80","+0.45","104",
"104/08/17","64,000","3,045,950","48.30","48.30","47.25","47.50","-0.30","40",
"104/08/18","93,004","4,415,950","48.00","48.00","47.20","47.25","-0.25","73",
"104/08/19","255,120","11,778,849","47.05","47.05","46.00","46.35","-0.90","185",
"104/08/20","211,752","9,787,141","46.75","46.75","46.00","46.05","-0.30","138",
"104/08/21","263,320","11,883,495","45.50","45.50","45.00","45.05","-1.00","194",
"104/08/24","567,350","24,212,650","44.00","44.70","42.00","42.30","-2.75","352",
"104/08/25","377,583","16,082,452","41.80","43.85","41.80","43.75","+1.45","227",
"104/08/26","110,001","4,850,748","43.55","44.40","43.55","44.40","+0.65","85",
"104/08/27","292,348","13,275,906","44.50","45.75","44.50","45.40","+1.00","219",
"104/08/28","215,827","9,528,117","43.65","44.70","43.50","44.30","X0.00","175",
"104/08/31","274,002","11,953,494","44.70","44.70","43.10","43.10","-1.20","181",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

