"10411る 2702 地堕             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/11/02","61,426","877,341","14.40","14.40","14.20","14.30"," 0.00","30",
"104/11/03","78,797","1,127,306","14.45","14.45","14.20","14.25","-0.05","19",
"104/11/04","176,300","2,512,937","14.35","14.35","14.20","14.35","+0.10","61",
"104/11/05","60,031","859,243","14.35","14.45","14.25","14.35"," 0.00","26",
"104/11/06","86,603","1,249,892","14.40","14.50","14.35","14.35"," 0.00","41",
"104/11/09","866,805","13,556,413","15.00","15.75","14.90","15.75","+1.40","393",
"104/11/10","1,262,621","20,677,469","16.20","17.10","15.85","16.00","+0.25","603",
"104/11/11","407,081","6,275,385","15.85","15.90","15.15","15.25","-0.75","199",
"104/11/12","149,050","2,292,860","15.80","15.80","15.25","15.30","+0.05","74",
"104/11/13","61,950","940,579","15.15","15.30","15.15","15.20","-0.10","47",
"104/11/16","138,220","2,060,700","15.00","15.05","14.70","15.00","-0.20","86",
"104/11/17","38,856","585,940","15.10","15.30","14.95","15.00"," 0.00","33",
"104/11/18","81,674","1,211,158","15.00","15.05","14.70","14.70","-0.30","57",
"104/11/19","67,251","994,939","14.70","15.00","14.70","15.00","+0.30","40",
"104/11/20","30,163","449,577","15.00","15.00","14.85","14.90","-0.10","25",
"104/11/23","138,763","2,087,126","15.10","15.20","14.90","15.20","+0.30","52",
"104/11/24","64,315","971,056","15.10","15.25","15.00","15.20"," 0.00","33",
"104/11/25","26,121","390,265","15.20","15.20","14.90","14.90","-0.30","20",
"104/11/26","29,521","442,662","14.90","15.15","14.90","15.00","+0.10","20",
"104/11/27","32,754","490,960","14.95","15.05","14.90","15.05","+0.05","18",
"104/11/30","13,500","202,400","15.05","15.05","14.90","15.00","-0.05","11",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

