"10411る 4737 地約             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/11/02","44,001","2,364,353","53.00","54.10","53.00","53.60","+0.30","39",
"104/11/03","57,045","3,075,743","53.60","54.30","53.60","53.80","+0.20","48",
"104/11/04","48,000","2,589,800","53.80","54.50","53.80","54.00","+0.20","38",
"104/11/05","38,000","2,066,400","54.00","54.80","54.00","54.30","+0.30","30",
"104/11/06","43,000","2,331,700","54.50","54.50","54.00","54.10","-0.20","29",
"104/11/09","148,199","8,273,724","54.70","57.50","54.70","55.40","+1.30","112",
"104/11/10","50,645","2,793,859","55.40","55.60","54.50","54.50","-0.90","37",
"104/11/11","42,000","2,277,200","55.40","55.40","54.00","54.00","-0.50","31",
"104/11/12","52,000","2,794,800","54.30","54.50","53.20","53.30","-0.70","43",
"104/11/13","23,000","1,223,200","52.70","53.30","52.60","53.20","-0.10","18",
"104/11/16","25,291","1,342,655","52.30","53.40","52.30","53.30","+0.10","17",
"104/11/17","77,000","4,191,500","55.00","55.00","53.80","54.00","+0.70","47",
"104/11/18","126,400","7,032,500","54.00","56.50","54.00","54.80","+0.80","100",
"104/11/19","532,211","31,160,000","55.20","60.20","55.20","60.20","+5.40","328",
"104/11/20","654,533","40,779,816","60.60","63.50","60.60","62.70","+2.50","449",
"104/11/23","361,085","22,777,093","65.00","65.50","61.10","61.10","-1.60","272",
"104/11/24","252,050","15,395,055","60.50","62.50","59.60","61.40","+0.30","194",
"104/11/25","698,022","44,424,715","61.60","65.00","61.60","64.70","+3.30","451",
"104/11/26","3,089,301","214,387,134","67.90","71.10","65.20","69.00","+4.30","1,759",
"104/11/27","948,748","64,537,440","69.90","70.40","65.80","66.40","-2.60","659",
"104/11/30","1,168,655","79,591,258","66.50","69.60","65.60","68.50","+2.10","820",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

