"10406る 2707 垂地             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/06/01","389,180","113,277,380","290.00","294.50","289.00","291.00","+2.50","413",
"104/06/02","263,580","76,236,903","290.00","291.00","288.00","288.00","-3.00","262",
"104/06/03","236,238","68,889,612","289.50","293.50","289.50","290.00","+2.00","242",
"104/06/04","576,060","162,195,821","290.00","291.50","277.50","279.50","-10.50","593",
"104/06/05","239,874","67,004,027","279.50","283.00","275.50","280.00","+0.50","246",
"104/06/08","359,018","97,827,435","278.00","278.00","270.00","272.00","-8.00","379",
"104/06/09","401,372","105,679,336","270.50","273.00","260.00","261.00","-11.00","408",
"104/06/10","195,565","51,966,985","261.00","269.00","261.00","269.00","+8.00","235",
"104/06/11","214,854","57,127,086","269.00","269.00","262.50","265.50","-3.50","227",
"104/06/12","217,751","57,776,515","265.50","267.50","264.00","264.00","-1.50","232",
"104/06/15","94,325","25,188,750","264.00","268.50","264.00","267.00","+3.00","102",
"104/06/16","340,688","88,671,944","265.50","266.00","258.00","260.00","-7.00","342",
"104/06/17","765,950","192,684,864","260.00","260.00","248.50","250.00","-10.00","756",
"104/06/18","357,859","91,243,340","254.00","258.00","251.50","255.50","+5.50","356",
"104/06/22","315,147","83,146,690","257.00","271.00","257.00","267.00","+11.50","323",
"104/06/23","253,307","68,780,463","269.00","275.00","269.00","270.50","+3.50","251",
"104/06/24","169,237","45,494,490","273.00","273.00","265.50","266.50","-4.00","169",
"104/06/25","106,240","28,482,500","268.00","270.00","267.00","268.00","+1.50","103",
"104/06/26","132,769","35,295,051","268.00","269.50","264.50","264.50","-3.50","131",
"104/06/29","128,690","33,596,808","264.00","264.00","260.00","261.50","-3.00","140",
"104/06/30","141,217","36,809,288","260.00","262.00","260.00","260.00","-1.50","146",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

