"10404る 4119 Π碔             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/04/01","191,106","13,040,508","68.60","68.80","67.80","68.00","-1.00","241",
"104/04/02","313,366","21,385,488","68.50","68.60","68.00","68.00"," 0.00","409",
"104/04/07","339,447","23,285,529","68.40","68.90","68.00","68.90","+0.90","549",
"104/04/08","255,122","17,601,749","69.20","69.30","68.40","69.30","+0.40","408",
"104/04/09","338,483","23,460,079","69.50","69.80","68.80","69.00","-0.30","406",
"104/04/10","1,521,518","98,681,862","66.50","66.50","64.20","65.10","-3.90","907",
"104/04/13","349,732","22,781,646","65.10","65.60","64.50","65.50","+0.40","292",
"104/04/14","324,176","21,468,627","65.50","66.80","65.40","66.50","+1.00","276",
"104/04/15","210,529","13,949,349","66.50","66.90","66.00","66.20","-0.30","166",
"104/04/16","227,454","15,145,542","66.40","67.20","66.00","66.70","+0.50","178",
"104/04/17","151,892","10,021,208","66.60","66.60","65.70","66.30","-0.40","145",
"104/04/20","178,871","11,719,501","65.70","66.20","65.20","65.60","-0.70","212",
"104/04/21","224,254","14,555,482","65.80","65.90","64.50","65.30","-0.30","182",
"104/04/22","156,043","10,145,893","65.30","65.40","64.70","65.30"," 0.00","149",
"104/04/23","483,892","32,004,272","65.60","66.60","65.30","66.10","+0.80","317",
"104/04/24","1,231,796","84,194,304","68.80","69.20","67.50","67.50","+1.40","875",
"104/04/27","474,234","32,376,281","68.00","68.70","67.60","68.30","+0.80","343",
"104/04/28","262,668","17,790,754","68.00","68.30","67.50","67.60","-0.70","189",
"104/04/29","231,018","15,591,912","67.60","67.90","67.20","67.70","+0.10","134",
"104/04/30","129,890","8,789,293","67.50","67.90","67.50","67.70"," 0.00","116",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

