"10506る 1733 き供             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/06/01","1,363,855","71,691,342","51.60","53.60","51.60","52.10","+0.50","874",
"105/06/02","606,057","31,452,440","52.20","52.50","51.50","51.60","-0.50","471",
"105/06/03","874,754","45,859,010","52.10","52.90","52.00","52.10","+0.50","667",
"105/06/04","501,683","26,434,216","52.80","53.30","52.10","52.20","+0.10","377",
"105/06/06","661,491","34,238,625","52.60","52.60","51.00","52.10","-0.10","529",
"105/06/07","2,042,717","109,537,954","52.60","54.70","52.50","54.40","+2.30","1,432",
"105/06/08","1,265,925","68,515,239","54.50","54.70","53.50","54.20","-0.20","893",
"105/06/13","725,707","38,308,787","53.90","53.90","52.10","52.30","-1.90","512",
"105/06/14","453,767","23,942,172","52.20","53.30","52.00","53.20","+0.90","334",
"105/06/15","408,567","21,573,623","53.00","53.40","52.40","52.60","-0.60","306",
"105/06/16","533,029","27,814,592","52.50","52.90","51.50","51.60","-1.00","416",
"105/06/17","475,545","25,043,963","52.80","53.00","52.00","52.70","+1.10","358",
"105/06/20","725,039","38,712,772","53.10","54.00","53.00","53.50","+0.80","463",
"105/06/21","566,221","30,099,922","53.70","53.70","52.80","52.90","-0.60","318",
"105/06/22","354,888","18,728,220","53.20","53.30","52.40","52.50","-0.40","249",
"105/06/23","470,259","24,542,618","52.50","53.00","51.60","52.10","-0.40","320",
"105/06/24","693,537","35,381,487","51.80","52.90","50.00","50.50","-1.60","523",
"105/06/27","478,088","24,321,278","50.10","51.70","49.90","51.20","+0.70","359",
"105/06/28","719,415","37,159,548","50.80","52.10","50.50","52.00","+0.80","520",
"105/06/29","1,030,450","54,118,512","52.00","52.90","51.80","52.70","+0.70","622",
"105/06/30","1,481,073","76,425,672","51.40","52.20","51.10","52.00","X0.00","887",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

