"10505る 1733 き供             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/05/03","106,153","4,527,082","42.90","43.15","42.40","43.15","+0.30","73",
"105/05/04","75,000","3,206,950","43.15","43.15","42.40","42.70","-0.45","53",
"105/05/05","57,000","2,420,650","42.10","42.95","42.10","42.70"," 0.00","41",
"105/05/06","516,204","22,952,881","45.00","45.00","44.20","44.25","+1.55","306",
"105/05/09","273,409","12,207,299","44.75","45.15","44.15","44.50","+0.25","199",
"105/05/10","663,401","30,624,274","44.50","47.50","44.25","46.50","+2.00","433",
"105/05/11","975,816","46,234,554","47.80","47.85","46.60","46.85","+0.35","639",
"105/05/12","582,300","27,501,343","47.00","47.60","46.50","46.90","+0.05","330",
"105/05/13","771,783","36,772,584","47.30","48.25","46.50","48.00","+1.10","516",
"105/05/16","1,424,521","68,889,897","48.45","48.85","47.60","47.60","-0.40","873",
"105/05/17","2,175,381","108,133,410","48.05","50.90","48.00","50.50","+2.90","1,370",
"105/05/18","2,772,409","143,043,788","50.90","52.60","50.50","50.60","+0.10","1,850",
"105/05/19","1,332,647","67,596,911","51.00","51.80","49.80","50.10","-0.50","952",
"105/05/20","1,029,528","52,167,371","50.30","51.30","49.85","51.00","+0.90","723",
"105/05/23","986,502","50,693,949","51.40","51.90","50.80","51.50","+0.50","719",
"105/05/24","1,527,133","79,640,316","51.90","52.70","51.60","52.00","+0.50","1,019",
"105/05/25","816,504","42,111,351","52.10","52.30","51.10","51.10","-0.90","597",
"105/05/26","442,201","22,645,251","50.80","51.70","50.80","51.00","-0.10","335",
"105/05/27","478,350","24,701,520","51.10","52.00","51.10","51.50","+0.50","320",
"105/05/30","731,788","37,831,600","51.60","52.20","51.10","51.40","-0.10","479",
"105/05/31","485,519","25,077,522","51.40","52.00","51.30","51.60","+0.20","356",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

