"10501る 1783 ㎝眃ネ           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/01/04","159,008","3,595,902","23.10","23.20","22.40","22.40","-0.90","99",
"105/01/05","160,001","3,504,022","22.40","22.40","21.50","21.50","-0.90","113",
"105/01/06","193,005","4,033,665","21.70","21.70","20.20","20.70","-0.80","144",
"105/01/07","260,150","5,052,228","20.25","20.65","18.65","19.35","-1.35","193",
"105/01/08","235,107","4,682,622","19.00","20.75","19.00","20.40","+1.05","158",
"105/01/11","114,003","2,259,866","20.20","20.20","19.55","19.90","-0.50","81",
"105/01/12","147,004","2,906,834","19.80","20.05","19.35","19.35","-0.55","105",
"105/01/13","63,000","1,244,000","19.75","20.00","19.50","19.80","+0.45","45",
"105/01/14","58,004","1,119,384","19.30","19.45","19.10","19.45","-0.35","51",
"105/01/15","194,006","3,812,120","19.45","20.00","19.45","19.55","+0.10","122",
"105/01/18","202,003","4,080,063","19.55","20.95","19.00","20.90","+1.35","154",
"105/01/19","343,133","7,399,629","21.00","22.45","20.40","22.00","+1.10","192",
"105/01/20","325,017","7,277,910","22.00","23.00","21.30","21.30","-0.70","237",
"105/01/21","117,000","2,477,700","21.30","21.55","20.60","20.90","-0.40","96",
"105/01/22","126,200","2,683,500","21.30","21.90","20.80","20.90"," 0.00","80",
"105/01/25","208,003","4,536,566","21.00","22.40","21.00","21.90","+1.00","141",
"105/01/26","68,005","1,472,360","21.50","21.90","21.50","21.60","-0.30","53",
"105/01/27","114,004","2,440,992","21.90","22.20","21.00","21.00","-0.60","87",
"105/01/28","169,004","3,591,934","21.00","21.80","20.85","21.15","+0.15","120",
"105/01/29","119,005","2,520,160","21.35","21.45","21.05","21.15"," 0.00","94",
"105/01/30","156,001","3,346,472","21.60","21.70","21.15","21.60","+0.45","118",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

