"10507る 1783 ㎝眃ネ           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/07/01","81,005","1,704,005","21.15","21.20","20.90","21.00","-0.10","66",
"105/07/04","50,003","1,053,313","21.20","21.30","21.00","21.00"," 0.00","39",
"105/07/05","290,000","6,216,800","21.15","21.70","21.10","21.60","+0.60","219",
"105/07/06","1,984,001","45,266,973","22.00","23.75","21.80","22.85","+1.25","1,083",
"105/07/07","453,150","10,351,585","23.30","23.30","22.60","22.70","-0.15","272",
"105/07/11","485,004","10,898,389","22.50","23.05","22.25","22.30","-0.40","198",
"105/07/12","326,000","7,382,600","22.30","23.05","22.30","22.40","+0.10","156",
"105/07/13","167,001","3,770,472","22.70","22.85","22.40","22.40"," 0.00","106",
"105/07/14","203,007","4,570,204","22.80","22.85","22.35","22.35","-0.05","112",
"105/07/15","163,445","3,676,616","22.50","22.70","22.25","22.50","+0.15","108",
"105/07/18","533,442","12,263,331","22.80","23.25","22.75","23.15","+0.65","303",
"105/07/19","237,080","5,439,943","23.45","23.45","22.60","23.05","-0.10","158",
"105/07/20","184,000","4,187,500","23.05","23.05","22.60","22.70","-0.35","91",
"105/07/21","723,151","17,902,416","24.00","24.95","24.00","24.95","+2.25","293",
"105/07/22","3,331,454","88,130,184","26.35","26.95","25.80","26.00","+1.05","1,680",
"105/07/25","544,439","13,874,064","25.50","25.85","25.05","25.55","-0.45","339",
"105/07/26","370,001","9,302,775","25.65","25.65","24.90","25.15","-0.40","203",
"105/07/27","320,168","8,037,350","25.30","25.40","24.60","25.00","-0.15","166",
"105/07/28","194,002","4,860,550","24.80","25.30","24.80","25.00"," 0.00","120",
"105/07/29","177,000","4,413,400","25.00","25.10","24.60","24.90","-0.10","90",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

