"10401る 2727 珇             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/01/05","82,040","24,252,898","296.00","296.50","295.00","296.00","-0.50","87",
"104/01/06","100,220","29,248,740","295.00","295.00","291.00","292.00","-4.00","116",
"104/01/07","123,228","35,792,532","292.00","292.00","289.00","290.00","-2.00","109",
"104/01/08","67,061","19,555,312","291.00","292.50","291.00","291.00","+1.00","82",
"104/01/09","92,971","27,064,561","293.00","293.00","290.00","290.00","-1.00","99",
"104/01/12","99,682","29,028,826","291.00","292.50","290.50","290.50","+0.50","99",
"104/01/13","227,960","67,132,637","290.50","297.00","290.00","296.50","+6.00","231",
"104/01/14","69,135","20,346,190","296.50","296.50","293.00","294.50","-2.00","92",
"104/01/15","78,907","23,141,158","294.00","294.00","292.00","293.00","-1.50","73",
"104/01/16","92,604","26,944,368","294.00","294.00","290.00","290.50","-2.50","115",
"104/01/19","57,570","16,757,800","291.50","292.50","289.50","289.50","-1.00","68",
"104/01/20","197,393","57,288,470","290.00","292.00","289.00","289.00","-0.50","193",
"104/01/21","114,896","33,258,340","289.50","290.50","289.00","289.00"," 0.00","104",
"104/01/22","109,348","31,685,740","291.00","291.00","289.00","289.00"," 0.00","130",
"104/01/23","149,174","43,360,634","291.00","292.00","290.00","290.00","+1.00","134",
"104/01/26","136,320","39,406,280","291.00","291.00","288.00","288.00","-2.00","132",
"104/01/27","87,556","25,261,240","289.00","289.00","288.00","288.00"," 0.00","91",
"104/01/28","89,083","25,673,443","288.00","289.00","287.50","287.50","-0.50","94",
"104/01/29","116,982","33,496,323","287.50","288.00","285.50","287.00","-0.50","124",
"104/01/30","98,110","28,078,070","287.00","288.50","285.00","285.00","-2.00","106",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

