"10407る 2722 甃常             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/07/01","26,157","1,222,203","47.30","47.30","46.30","46.70","-0.60","18",
"104/07/02","14,536","659,815","46.30","46.30","44.50","44.75","-1.95","17",
"104/07/03","26,464","1,167,482","44.75","44.75","43.50","43.85","-0.90","25",
"104/07/06","11,000","484,000","43.70","44.05","43.70","44.05","+0.20","9",
"104/07/07","2,340","104,214","44.05","45.00","44.05","45.00","+0.95","5",
"104/07/08","40,097","1,747,457","43.30","44.50","43.20","44.25","-0.75","32",
"104/07/09","5,000","219,000","43.30","44.25","43.00","44.25"," 0.00","5",
"104/07/13","17,000","746,800","43.35","44.45","43.25","44.45","+0.20","12",
"104/07/14","29,000","1,269,800","43.55","44.15","43.55","44.10","-0.35","29",
"104/07/15","15,000","657,700","43.60","44.20","43.60","44.20","+0.10","15",
"104/07/16","12,791","566,782","44.20","44.50","44.10","44.50","+0.30","14",
"104/07/17","18,000","797,200","44.50","44.60","43.75","44.60","+0.10","18",
"104/07/20","9,157","407,205","44.00","44.70","43.95","44.70","+0.10","10",
"104/07/21","16,215","728,039","44.70","45.80","44.50","45.80","+1.10","13",
"104/07/22","11,150","503,250","45.05","45.50","44.90","45.50","-0.30","12",
"104/07/23","23,207","1,043,442","45.60","45.60","44.45","45.35","-0.15","24",
"104/07/24","7,054","320,830","45.55","45.55","45.45","45.45","+0.10","8",
"104/07/27","17,000","760,500","45.45","45.45","44.20","45.00","-0.45","13",
"104/07/28","24,000","1,080,750","45.00","45.50","44.45","45.20","+0.20","24",
"104/07/29","151","6,763","--","--","--","--"," 0.00","3",
"104/07/30","14,278","643,860","45.40","45.40","44.35","45.40","X0.00","14",
"104/07/31","65,929","3,099,698","45.30","48.70","45.30","48.70","+3.30","58",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

