"10507る 2739 碒             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/07/01","152,100","6,322,460","41.80","41.80","41.30","41.60"," 0.00","96",
"105/07/04","156,003","6,483,225","41.45","41.90","41.05","41.80","+0.20","88",
"105/07/05","43,200","1,798,600","41.50","41.80","41.30","41.70","-0.10","43",
"105/07/06","261,588","10,843,254","41.30","41.65","41.00","41.50","-0.20","86",
"105/07/07","76,000","3,149,600","41.45","41.70","41.20","41.70","+0.20","55",
"105/07/11","78,010","3,252,317","41.20","42.30","41.20","41.70"," 0.00","54",
"105/07/12","151,485","6,251,828","41.70","41.70","40.95","41.30","-0.40","101",
"105/07/13","69,251","2,851,616","41.30","41.40","41.05","41.20","-0.10","44",
"105/07/14","83,100","3,397,494","41.10","41.10","40.70","40.90","-0.30","69",
"105/07/15","285,180","11,626,968","40.90","41.00","40.55","40.75","-0.15","114",
"105/07/18","69,800","2,849,407","40.80","41.05","40.60","40.80","+0.05","55",
"105/07/19","45,000","1,833,850","40.80","40.80","40.70","40.75","-0.05","38",
"105/07/20","98,500","4,003,675","40.75","40.75","40.60","40.65","-0.10","63",
"105/07/21","78,800","3,205,590","40.70","40.75","40.60","40.65"," 0.00","59",
"105/07/22","67,000","2,717,250","40.65","40.65","40.50","40.50","-0.15","55",
"105/07/25","132,156","5,298,851","40.45","40.45","39.90","40.00","-0.50","106",
"105/07/26","99,074","3,949,451","39.85","40.00","39.80","39.80","-0.20","75",
"105/07/27","162,026","6,405,564","39.60","39.70","39.30","39.40","-0.40","128",
"105/07/28","81,202","3,201,009","39.40","39.50","39.25","39.40"," 0.00","67",
"105/07/29","135,100","5,332,130","39.40","39.65","39.40","39.55","+0.15","92",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

