"10501る 1762 いてネ           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/01/04","367,009","14,177,093","39.65","39.70","38.25","38.50","-0.95","285",
"105/01/05","345,350","13,201,011","38.15","38.75","37.80","38.10","-0.40","239",
"105/01/06","428,500","16,059,700","38.15","38.20","37.15","37.20","-0.90","285",
"105/01/07","783,148","28,655,948","37.90","37.90","35.40","36.50","-0.70","480",
"105/01/08","1,194,221","45,936,857","36.50","39.80","36.50","39.35","+2.85","874",
"105/01/11","812,040","31,369,371","39.30","39.30","38.35","38.45","-0.90","591",
"105/01/12","852,120","32,615,723","38.65","39.25","37.10","37.10","-1.35","553",
"105/01/13","517,001","19,512,938","37.90","38.15","37.20","37.70","+0.60","406",
"105/01/14","477,932","17,625,532","36.50","37.35","36.30","37.05","-0.65","364",
"105/01/15","828,300","31,643,005","37.35","38.75","37.35","38.70","+1.65","586",
"105/01/18","3,989,254","165,022,157","38.70","42.55","38.20","42.55","+3.85","2,423",
"105/01/19","2,441,691","102,938,878","43.25","43.35","41.15","41.75","-0.80","1,553",
"105/01/20","1,600,007","65,694,415","41.90","42.30","39.75","39.75","-2.00","1,120",
"105/01/21","1,052,700","41,949,900","40.00","40.50","39.00","39.25","-0.50","759",
"105/01/22","770,231","30,428,476","40.20","40.20","38.80","39.00","-0.25","544",
"105/01/25","580,751","23,175,026","39.90","40.30","39.40","40.05","+1.05","417",
"105/01/26","348,032","13,806,614","40.05","40.05","39.40","39.60","-0.45","259",
"105/01/27","454,015","18,047,980","40.20","40.30","39.15","39.20","-0.40","352",
"105/01/28","359,010","14,211,190","39.25","39.80","39.20","39.70","+0.50","274",
"105/01/29","848,148","34,141,341","39.90","40.85","39.50","40.85","+1.15","543",
"105/01/30","1,215,409","50,444,941","41.30","41.95","41.00","41.50","+0.65","760",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

