"10412る 1701 いて             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/12/01","1,299,465","26,134,545","20.05","20.30","19.95","20.20","+0.30","589",
"104/12/02","5,399,076","113,156,955","20.40","21.45","20.30","21.25","+1.05","2,070",
"104/12/03","7,686,903","164,075,557","21.25","21.90","20.80","20.80","-0.45","3,060",
"104/12/04","1,840,991","37,777,253","20.55","20.70","20.30","20.55","-0.25","839",
"104/12/07","1,296,117","26,804,800","20.70","20.90","20.55","20.55"," 0.00","585",
"104/12/08","1,605,519","32,788,731","20.60","20.70","20.25","20.30","-0.25","758",
"104/12/09","2,252,148","44,357,475","20.25","20.40","19.30","19.45","-0.85","955",
"104/12/10","653,688","12,683,622","19.30","19.70","19.05","19.65","+0.20","412",
"104/12/11","1,167,214","22,403,333","19.70","19.75","19.00","19.10","-0.55","561",
"104/12/14","713,208","13,458,889","18.70","19.00","18.65","18.90","-0.20","411",
"104/12/15","754,305","14,618,955","19.05","19.70","19.00","19.50","+0.60","379",
"104/12/16","770,151","15,089,000","19.65","19.80","19.45","19.50"," 0.00","413",
"104/12/17","827,010","16,253,444","19.60","19.80","19.50","19.70","+0.20","389",
"104/12/18","601,435","11,673,685","19.50","19.65","19.30","19.45","-0.25","338",
"104/12/21","285,418","5,540,371","19.30","19.55","19.25","19.55","+0.10","223",
"104/12/22","523,263","10,200,034","19.55","19.60","19.40","19.40","-0.15","237",
"104/12/23","521,323","10,211,395","19.50","19.75","19.45","19.50","+0.10","327",
"104/12/24","601,021","11,646,820","19.60","19.65","19.20","19.30","-0.20","322",
"104/12/25","395,009","7,597,380","19.10","19.30","19.10","19.30"," 0.00","194",
"104/12/28","349,486","6,732,825","19.40","19.45","19.15","19.20","-0.10","245",
"104/12/29","214,559","4,126,680","19.20","19.30","19.15","19.20"," 0.00","139",
"104/12/30","339,209","6,543,332","19.30","19.40","19.20","19.25","+0.05","159",
"104/12/31","1,333,459","26,121,762","19.25","19.80","19.20","19.75","+0.50","619",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

