"10406る 1720 ネ笷             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/06/01","500,230","16,463,361","32.45","33.30","32.40","33.10","+0.70","352",
"104/06/02","767,782","25,870,024","33.50","34.00","33.45","33.80","+0.70","460",
"104/06/03","546,513","18,497,255","34.00","34.40","33.35","33.35","-0.45","354",
"104/06/04","405,210","13,410,285","33.80","33.80","32.50","32.50","-0.85","272",
"104/06/05","405,521","12,999,472","32.50","32.75","31.75","31.90","-0.60","270",
"104/06/08","311,681","10,031,276","31.90","32.60","31.85","32.20","+0.30","202",
"104/06/09","506,591","15,830,728","32.45","32.45","30.10","30.35","-1.85","371",
"104/06/10","316,000","9,736,150","30.50","31.10","30.50","30.95","+0.60","190",
"104/06/11","221,100","6,798,379","31.10","31.10","30.50","30.55","-0.40","155",
"104/06/12","148,547","4,550,537","30.10","30.95","30.10","30.60","+0.05","111",
"104/06/15","264,828","8,165,584","30.40","31.05","30.40","30.90","+0.30","157",
"104/06/16","237,457","7,311,471","31.30","31.30","30.50","30.50","-0.40","134",
"104/06/17","207,000","6,362,000","30.50","30.90","30.50","30.65","+0.15","164",
"104/06/18","104,526","3,225,760","31.20","31.20","30.70","30.85","+0.20","82",
"104/06/22","148,032","4,603,100","31.10","31.30","30.95","31.05","+0.20","113",
"104/06/23","173,444","5,345,414","30.50","31.10","30.50","30.95","-0.10","138",
"104/06/24","95,560","2,964,110","31.05","31.20","30.85","31.00","+0.05","79",
"104/06/25","172,100","5,350,200","30.85","31.30","30.85","31.00"," 0.00","91",
"104/06/26","154,150","4,822,437","31.00","31.45","31.00","31.25","+0.25","117",
"104/06/29","188,001","5,840,629","31.60","31.60","30.65","30.80","-0.45","119",
"104/06/30","376,909","11,731,183","30.60","31.75","30.55","31.65","+0.85","243",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

