"10408る 2731 动粪             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/08/03","1,015,204","157,921,324","151.50","159.00","151.50","156.00","+8.00","764",
"104/08/04","753,069","114,235,815","158.00","158.50","142.00","148.00","-8.00","624",
"104/08/05","318,023","47,675,019","151.00","152.50","148.00","150.00","+2.00","262",
"104/08/06","367,000","54,388,500","152.00","153.00","145.50","147.50","-2.50","313",
"104/08/07","706,975","106,254,300","151.00","152.50","148.00","149.00","+1.50","619",
"104/08/10","701,230","103,964,190","149.50","152.00","144.00","151.50","+2.50","628",
"104/08/11","470,116","70,331,668","152.00","152.50","146.00","147.00","-4.50","394",
"104/08/12","433,344","63,681,100","147.00","150.00","143.50","147.00"," 0.00","357",
"104/08/13","295,445","43,837,755","148.00","150.50","147.00","148.00","+1.00","259",
"104/08/14","359,000","53,834,500","149.00","151.00","148.00","148.50","+0.50","247",
"104/08/17","335,068","50,683,472","150.50","152.50","148.50","152.00","+3.50","284",
"104/08/18","777,653","118,849,215","150.00","157.50","147.00","155.50","+3.50","665",
"104/08/19","347,500","52,126,000","153.50","153.50","147.50","149.50","-6.00","319",
"104/08/20","645,535","92,329,610","145.00","149.00","138.00","144.00","-5.50","533",
"104/08/21","889,810","120,013,850","138.50","140.00","131.50","132.50","-11.50","718",
"104/08/24","549,730","66,303,733","127.50","127.50","119.50","119.50","-13.00","381",
"104/08/25","1,011,757","118,290,069","113.00","122.00","111.50","118.00","-1.50","884",
"104/08/26","950,595","118,252,052","118.50","129.50","117.00","129.50","+11.50","734",
"104/08/27","580,069","81,127,298","136.00","142.00","136.00","142.00","+12.50","386",
"104/08/28","1,291,341","183,297,069","144.00","146.00","136.50","138.50","-3.50","1,014",
"104/08/31","610,370","86,902,240","138.00","145.00","137.50","144.50","+6.00","553",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

