"10407る 2731 动粪             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/07/01","558,365","95,923,645","169.50","174.00","168.00","170.00","+2.50","443",
"104/07/02","1,823,225","327,423,657","175.00","186.50","171.50","179.50","+9.50","1,535",
"104/07/03","689,486","124,029,466","177.50","184.00","176.50","179.00","-0.50","596",
"104/07/06","874,241","150,973,452","178.50","180.50","167.00","170.00","-9.00","689",
"104/07/07","508,014","87,747,950","174.00","177.00","169.00","172.00","+2.00","461",
"104/07/08","711,015","120,169,020","172.00","176.50","164.00","169.00","-3.00","634",
"104/07/09","503,078","84,743,916","166.50","172.00","161.00","169.00"," 0.00","427",
"104/07/13","544,854","94,479,313","175.00","176.00","170.00","173.50","+4.50","456",
"104/07/14","423,100","73,816,000","175.50","177.50","171.00","171.00","-2.50","358",
"104/07/15","286,315","48,862,680","173.00","173.50","169.00","169.50","-1.50","241",
"104/07/16","782,554","136,809,779","171.00","177.50","170.50","177.50","+8.00","652",
"104/07/17","1,120,307","203,211,411","179.50","184.00","176.50","181.00","+3.50","892",
"104/07/20","554,420","97,398,000","182.50","182.50","171.50","173.00","-8.00","467",
"104/07/21","380,000","65,054,000","173.00","175.00","166.50","172.00","-1.00","316",
"104/07/22","751,640","125,863,479","172.50","174.00","165.00","168.00","-4.00","582",
"104/07/23","682,054","110,284,720","164.00","167.00","156.00","161.00","X0.00","546",
"104/07/24","523,030","81,953,740","160.00","160.00","155.00","155.50","-5.50","429",
"104/07/27","581,290","88,388,594","155.00","159.00","147.00","147.00","-8.50","471",
"104/07/28","443,474","66,023,574","147.00","152.00","145.00","150.50","+3.50","373",
"104/07/29","328,250","48,626,374","151.50","152.50","146.00","148.50","-2.00","321",
"104/07/30","513,000","77,502,000","148.50","154.00","148.00","149.50","+1.00","475",
"104/07/31","196,200","29,251,800","150.50","151.50","147.50","148.00","-1.50","180",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

