"10412る 1786 О             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/12/01","513,580","32,624,826","63.80","64.20","62.80","63.30","+0.80","401",
"104/12/02","698,310","45,234,477","63.60","66.20","63.60","63.80","+0.50","595",
"104/12/03","470,070","30,041,710","64.50","65.00","62.70","63.00","-0.80","366",
"104/12/04","345,337","21,799,450","63.40","64.20","62.50","62.80","-0.20","265",
"104/12/07","348,013","22,191,532","64.60","64.60","63.00","63.60","+0.80","307",
"104/12/08","2,357,779","162,809,843","66.20","69.90","65.60","69.90","+6.30","1,193",
"104/12/09","3,410,020","233,477,403","70.50","70.80","65.00","65.00","-4.90","2,296",
"104/12/10","1,097,070","71,769,120","65.00","66.30","64.00","65.60","+0.60","723",
"104/12/11","1,017,510","66,666,289","66.70","67.50","63.20","63.30","-2.30","734",
"104/12/14","482,029","30,096,411","61.00","63.90","61.00","62.50","-0.80","348",
"104/12/15","588,261","37,597,996","63.50","64.60","63.20","63.90","+1.40","381",
"104/12/16","567,070","36,228,670","65.00","65.00","62.40","63.80","-0.10","387",
"104/12/17","729,140","47,257,687","64.70","65.60","64.00","64.50","+0.70","462",
"104/12/18","270,070","17,273,035","64.50","64.50","63.60","63.80","-0.70","212",
"104/12/21","230,209","14,858,312","63.50","65.20","63.50","64.50","+0.70","210",
"104/12/22","930,869","61,595,488","65.10","66.80","64.90","66.00","+1.50","684",
"104/12/23","457,125","29,900,597","66.50","67.40","64.00","64.70","-1.30","355",
"104/12/24","402,020","25,498,760","64.90","65.50","62.80","63.50","-1.20","333",
"104/12/25","294,583","18,328,707","63.40","63.40","60.80","62.80","-0.70","233",
"104/12/28","141,077","8,876,074","63.40","63.80","62.30","62.30","-0.50","144",
"104/12/29","161,324","10,067,351","62.50","63.20","61.60","62.00","-0.30","151",
"104/12/30","125,178","7,842,756","63.50","63.50","62.10","62.70","+0.70","112",
"104/12/31","128,350","8,066,572","63.00","63.60","62.30","62.50","-0.20","125",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

