"10507る 4746 模             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/07/01","1,110,981","119,558,391","107.50","108.50","106.50","107.50"," 0.00","825",
"105/07/04","1,377,651","151,344,412","108.00","112.00","107.00","112.00","+4.50","967",
"105/07/05","2,763,331","310,462,579","112.00","115.50","109.00","109.00","-3.00","1,874",
"105/07/06","1,244,359","137,103,131","110.00","112.00","108.50","110.00","+1.00","898",
"105/07/07","2,150,873","244,171,149","111.00","115.00","110.50","113.00","+3.00","1,543",
"105/07/11","1,544,405","169,950,455","114.00","114.00","108.50","109.50","-3.50","1,121",
"105/07/12","1,129,437","122,612,259","110.00","110.50","107.50","107.50","-2.00","802",
"105/07/13","2,278,191","254,775,794","108.50","114.00","108.50","111.50","+4.00","1,691",
"105/07/14","785,417","86,700,994","111.50","112.00","109.00","109.50","-2.00","614",
"105/07/15","1,219,123","133,151,967","110.50","111.50","107.50","109.50"," 0.00","891",
"105/07/18","1,648,791","180,468,822","110.00","113.00","107.50","108.50","-1.00","1,082",
"105/07/19","1,341,090","141,993,950","109.00","109.00","104.50","105.00","-3.50","983",
"105/07/20","1,507,621","156,367,463","105.50","106.50","101.50","103.50","-1.50","1,072",
"105/07/21","1,027,431","107,627,393","104.50","106.00","103.50","104.00","+0.50","750",
"105/07/22","1,310,592","138,347,160","104.50","107.00","103.00","106.00","+2.00","923",
"105/07/25","1,611,291","165,301,391","106.00","106.00","100.00","102.00","-4.00","1,254",
"105/07/26","1,808,485","183,482,170","103.50","103.50","99.80","102.50","+0.50","1,061",
"105/07/27","959,357","98,481,414","103.50","104.00","101.50","102.50"," 0.00","747",
"105/07/28","933,178","97,278,834","103.00","105.50","102.50","103.50","+1.00","673",
"105/07/29","492,032","50,839,247","104.00","104.50","102.00","102.00","-1.50","359",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

