"10505る 4141 纒縊-KY          らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/05/03","1,460,184","56,929,402","37.90","40.00","37.60","38.80","+1.25","917",
"105/05/04","809,313","30,783,776","38.80","39.00","37.00","37.00","-1.80","503",
"105/05/05","409,201","15,287,536","37.70","37.70","37.05","37.40","+0.40","242",
"105/05/06","272,200","10,226,190","38.00","38.00","37.20","37.45","+0.05","197",
"105/05/09","584,180","21,496,511","37.60","38.00","36.00","36.10","-1.35","291",
"105/05/10","407,508","14,903,994","36.00","37.20","36.00","36.45","+0.35","243",
"105/05/11","391,430","14,148,744","36.00","36.80","35.80","35.80","-0.65","212",
"105/05/12","554,093","19,563,545","35.50","36.00","34.60","35.10","-0.70","281",
"105/05/13","213,220","7,525,943","35.60","36.00","34.65","35.45","+0.35","141",
"105/05/16","1,719,000","63,650,350","37.20","37.85","36.10","36.40","+0.95","958",
"105/05/17","1,467,180","55,768,081","38.20","38.80","37.55","37.60","+1.20","891",
"105/05/18","795,261","30,204,469","37.90","38.45","37.50","37.85","+0.25","530",
"105/05/19","459,016","17,202,851","38.00","38.10","36.90","37.25","-0.60","324",
"105/05/20","422,018","15,752,971","37.70","37.70","36.90","37.40","+0.15","319",
"105/05/23","4,759,619","191,752,587","37.90","41.10","37.70","41.10","+3.70","2,435",
"105/05/24","3,034,830","122,278,750","41.10","41.30","39.65","40.00","-1.10","1,886",
"105/05/25","5,963,231","250,575,180","41.10","43.80","40.25","40.60","+0.60","3,874",
"105/05/26","1,834,486","74,721,532","40.90","41.50","40.00","40.20","-0.40","1,156",
"105/05/27","1,322,380","53,324,412","40.80","41.15","39.70","40.10","-0.10","911",
"105/05/30","3,532,052","147,869,616","40.50","42.60","40.20","41.85","+1.75","2,240",
"105/05/31","1,881,219","78,524,896","42.10","42.90","41.00","41.55","-0.30","1,153",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

